"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"47"	5.02297594447545e-125	0.350740158983168	0.318	0.6	7.32852190298968e-121	"0"	"RpS4"
"48"	7.3506624861796e-124	0.331044128247553	0.33	0.623	1.0724616567336e-119	"0"	"RpL18A"
"49"	4.70264804156914e-122	0.373725905466662	0.309	0.58	6.86116349264937e-118	"0"	"ATPsynO"
"50"	3.17347418364643e-113	0.563579328670754	0.556	0.741	4.63009883394014e-109	"0"	"RpL39"
"51"	2.98128617853245e-112	0.374837308985595	0.323	0.6	4.34969653447885e-108	"0"	"RpL10"
"52"	2.72256934981356e-110	0.383219803335955	0.325	0.602	3.97222868137799e-106	"0"	"RpS13"
"53"	1.02108170790131e-105	0.327406421706137	0.165	0.294	1.48975821182802e-101	"0"	"Proc"
"54"	9.17108916619475e-97	0.353737059710505	0.34	0.621	1.33806190934781e-92	"0"	"COX7C"
"55"	5.48358860382247e-96	0.394548010422313	0.329	0.598	8.00055577297699e-92	"0"	"UQCR-14"
"56"	1.79732222400357e-90	0.305612133178863	0.648	0.831	2.62229312482121e-86	"0"	"sesB"
"57"	1.07856055391324e-87	0.44612771576839	0.325	0.586	1.57361984815941e-83	"0"	"RpS20"
"58"	1.81286345174721e-83	0.438617666894699	0.331	0.596	2.64496777609918e-79	"0"	"RpS28b"
"59"	2.82697080662705e-73	0.261968985785651	0.377	0.67	4.12455040686887e-69	"0"	"COX6B"
"60"	5.99244846874963e-69	0.316059814746443	0.364	0.644	8.74298231590571e-65	"0"	"COX5B"
"61"	2.93130750104894e-68	0.339710417460523	0.361	0.641	4.2767776440304e-64	"0"	"RpL31"
"62"	1.65278022059898e-67	0.418023683980064	0.348	0.615	2.41140634185392e-63	"0"	"RpL12"
"63"	7.2145316396587e-66	0.364914893826492	0.367	0.649	1.05260016622621e-61	"0"	"RpS3A"
"64"	3.9679350353562e-64	0.400009165803628	0.353	0.619	5.7892172165847e-60	"0"	"RpS11"
"65"	5.73557386343295e-59	0.358542531327837	0.371	0.65	8.36820226674867e-55	"0"	"RpL21"
"66"	2.83190312063865e-57	0.377467141697868	0.369	0.645	4.13174665301179e-53	"0"	"RpS27"
"67"	1.79576775450219e-55	0.397021171635538	0.36	0.625	2.6200251538187e-51	"0"	"RpS27A"
"68"	1.06244798075222e-51	0.313835229649009	0.384	0.666	1.55011160391749e-47	"0"	"ATPsynG"
