"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"RpS3A"	7.2145316396587e-66	0.364914893826492	0.367	0.649	1.05260016622621e-61	"0"	"RpS3A"
"RpS11"	3.9679350353562e-64	0.400009165803628	0.353	0.619	5.7892172165847e-60	"0"	"RpS11"
"RpL21"	5.73557386343295e-59	0.358542531327837	0.371	0.65	8.36820226674867e-55	"0"	"RpL21"
"RpS27"	2.83190312063865e-57	0.377467141697868	0.369	0.645	4.13174665301179e-53	"0"	"RpS27"
"RpS27A"	1.79576775450219e-55	0.397021171635538	0.36	0.625	2.6200251538187e-51	"0"	"RpS27A"
"ATPsynG"	1.06244798075222e-51	0.313835229649009	0.384	0.666	1.55011160391749e-47	"0"	"ATPsynG"
"cype"	1.99642041436006e-44	0.314722727452615	0.583	0.804	2.91277738455133e-40	"0"	"cype"
"COX7A"	4.45220388936722e-43	0.40289594786821	0.366	0.624	6.49576547458677e-39	"0"	"COX7A"
"UQCR-Q"	1.23600667226821e-41	0.337834752242502	0.39	0.665	1.80333373483932e-37	"0"	"UQCR-Q"
"RpL15"	4.40132778679737e-39	0.455114546952524	0.363	0.614	6.42153724093737e-35	"0"	"RpL15"
"RpL27A"	7.67617672977438e-39	0.403459039169184	0.38	0.646	1.11995418487408e-34	"0"	"RpL27A"
"Cbp53E"	7.21883025556073e-38	0.36970572394491	0.31	0.484	1.05322733428631e-33	"0"	"Cbp53E"
"RpS29"	1.12340726983625e-34	0.376278100026953	0.387	0.654	1.63905120669109e-30	"0"	"RpS29"
"ND-MLRQ"	1.14843933420174e-29	0.318007563372967	0.403	0.675	1.67557298860033e-25	"0"	"ND-MLRQ"
"RpS25"	1.67351012514974e-29	0.409465005852411	0.532	0.761	2.44165127259347e-25	"0"	"RpS25"
"RpS12"	2.18353054736118e-23	0.437908882412659	0.388	0.643	3.18577106859996e-19	"0"	"RpS12"
"RpS15"	7.19359742512587e-17	0.372293906663884	0.414	0.679	1.04954586432586e-12	"0"	"RpS15"
"Orcokinin"	8.31833114246914e-17	0.529057942845445	0.213	0.295	1.21364451368625e-12	"0"	"Orcokinin"
"CG13056"	4.67260170385301e-15	0.496880579473051	0.234	0.328	6.81732588592155e-11	"0"	"CG13056"
"RpL41"	1.70254580784761e-12	0.47922564405079	0.487	0.695	2.48401433364966e-08	"0"	"RpL41"
"ATPsynbeta"	3.0803207533924e-12	0.308818341732301	0.427	0.688	4.49418797919951e-08	"0"	"ATPsynbeta"
"RpL40"	3.00855070253592e-11	0.397321377319694	0.417	0.678	4.38947547499991e-07	"0"	"RpL40"
"RpL36"	1.26513522708156e-10	0.438595936442621	0.411	0.663	1.84583229631199e-06	"0"	"RpL36"
"RpL29"	4.01709194859223e-05	0.424480517106046	0.422	0.665	0.586093715299607	"0"	"RpL29"
"Lk"	0.00486968859052586	0.494918606734142	0.256	0.332	1	"0"	"Lk"
"mt:lrRNA"	0	1.60396053945654	0.988	0.682	0	"1"	"mt:lrRNA"
"mt:ND6"	0	1.56953820323552	0.641	0.307	0	"1"	"mt:ND6"
"Capa"	0	1.4774516754351	0.429	0.17	0	"1"	"Capa"
"mt:ND2"	0	1.35482170880723	0.305	0.196	0	"1"	"mt:ND2"
"mt:ND5"	0	1.25628153603034	0.547	0.357	0	"1"	"mt:ND5"
"Nplp1"	0	1.04968484170114	0.433	0.259	0	"1"	"Nplp1"
"RpL24"	0	1.02224479326656	0.404	0.294	0	"1"	"RpL24"
"RpLP1"	0	0.994188994692694	0.406	0.308	0	"1"	"RpLP1"
"ATPsynF"	0	0.990165916495586	0.494	0.328	0	"1"	"ATPsynF"
"COX4"	0	0.961353507823421	0.5	0.361	0	"1"	"COX4"
"mt:ND1"	0	0.947289867461354	0.593	0.479	0	"1"	"mt:ND1"
"RpS2"	0	0.931165636617056	0.505	0.372	0	"1"	"RpS2"
"levy"	0	0.918129983399369	0.45	0.359	0	"1"	"levy"
"RpL37a"	0	0.73858331446602	0.565	0.471	0	"1"	"RpL37a"
"mt:ATPase6"	0	0.722550798955589	0.995	0.966	0	"1"	"mt:ATPase6"
"mt:Cyt-b1"	0	0.430847985577579	0.981	0.964	0	"1"	"mt:Cyt-b"
"mt:CoIII1"	0	0.42568961313496	0.98	0.964	0	"1"	"mt:CoIII"
"mt:CoI1"	0	0.310525798940572	0.992	0.985	0	"1"	"mt:CoI"
"mt:CoII1"	0	0.308300476492581	0.991	0.985	0	"1"	"mt:CoII"
"sta"	1.64277547082261e-297	0.892994450715172	0.407	0.324	2.39680941193019e-293	"1"	"sta"
"CG10527"	4.34372822905984e-248	1.13805767351672	0.257	0.158	6.33749948619831e-244	"1"	"CG10527"
"COX5A"	4.94682835215418e-248	0.858744710382992	0.412	0.35	7.21742256579294e-244	"1"	"COX5A"
"RpS10b"	4.03228960469681e-240	1.00184846318481	0.349	0.273	5.88311053325264e-236	"1"	"RpS10b"
"RpS26"	7.6736313405324e-226	0.937419436540187	0.376	0.31	1.11958281258368e-221	"1"	"RpS26"
"RpL37A"	1.62985248390599e-222	0.994380539706165	0.362	0.295	2.37795477401884e-218	"1"	"RpL37A"
"RFeSP"	7.51602703034117e-218	0.931049311776828	0.356	0.289	1.09658834372678e-213	"1"	"RFeSP"
"Pdf"	4.23848979931177e-203	0.852335032304945	0.259	0.16	6.18395661719587e-199	"1"	"Pdf"
"RpL18"	3.49945526040673e-196	0.997458261272451	0.332	0.269	5.10570522493341e-192	"1"	"RpL18"
"RpL6"	2.88644151473007e-193	0.8961218720115	0.372	0.321	4.21131816999118e-189	"1"	"RpL6"
"ATPsynB"	5.26845323871798e-188	0.857626719474232	0.37	0.318	7.68667327528953e-184	"1"	"ATPsynB"
"RpL13A"	1.08708842759675e-185	0.963039619999498	0.337	0.277	1.58606201586366e-181	"1"	"RpL13A"
"RpS8"	9.91315195326685e-182	0.846335903737175	0.383	0.34	1.44632886998163e-177	"1"	"RpS8"
"COX8"	8.94192071663312e-167	0.542642073036895	0.505	0.51	1.30462623255677e-162	"1"	"COX8"
"Orcokinin1"	3.66888633624569e-132	0.541972735928161	0.336	0.257	5.35290516458246e-128	"1"	"Orcokinin"
"ND-AGGG"	1.69235898563696e-118	0.324160007304246	0.133	0.258	2.46915176004433e-114	"1"	"ND-AGGG"
"Lk1"	2.087372832881e-112	0.474775074057696	0.366	0.297	3.04547696317337e-108	"1"	"Lk"
"mt:ND41"	3.81718332648097e-104	0.493357151791456	0.493	0.509	5.56927047333573e-100	"1"	"mt:ND4"
"CG6044"	3.12747862168097e-100	0.332915176619921	0.167	0.302	4.56299130903254e-96	"1"	"CG6044"
