gene	avg_logFC	p_val_adj	pct.1	pct.2
Ace	0.549697756767273	6.71431847041492e-16	0.8119999766349792	0.5320000052452087
CG11319	0.7280707955360413	2.26671588329045e-25	0.5640000104904175	0.2770000100135803
CG13287	0.5663499236106873	5.454570684015891e-10	0.2549999952316284	0.01600000075995922
CG14762	0.8177653551101685	2.8621267953068286e-24	0.7720000147819519	0.3059999942779541
CG31221	0.8891302347183228	2.5817547969278487e-13	0.9660000205039978	0.6660000085830688
CG33639	0.5290294289588928	2.0020621604999178e-8	0.4970000088214874	0.22100000083446503
CG42313	0.5570096969604492	2.795964148633605e-18	0.6110000014305115	0.38199999928474426
CG42458	0.5016959309577942	0.01059434562921524	0.24799999594688416	0.09799999743700027
CG7708	0.6914044618606567	4.926701460856471e-21	0.5299999713897705	0.15399999916553497
CG8177	0.5338190793991089	8.639272565565126e-13	0.7250000238418579	0.35499998927116394
ChAT	0.7114537358283997	1.0788962666477373e-24	0.6309999823570251	0.19099999964237213
Ets65A	0.7049480676651001	3.391746248009725e-14	0.4230000078678131	0.07699999958276749
Frq1	0.5999762415885925	6.267386051465632e-31	0.9800000190734863	0.8370000123977661
Nckx30C	0.6114335060119629	3.7328773812576866e-28	0.953000009059906	0.7289999723434448
Or63a	0.5235577821731567	5.6712714524564944e-9	0.32199999690055847	0.05900000035762787
Rbp9	0.7891828417778015	5.927254283355041e-40	0.8659999966621399	0.48399999737739563
SoxN	0.7318291068077087	0.000002311678144906182	0.4830000102519989	0.07400000095367432
VAChT	1.0717018842697144	3.5373215241554555e-29	0.8989999890327454	0.31700000166893005
beat-VI	0.6434418559074402	8.253677945418294e-20	0.6380000114440918	0.24899999797344208
ct	0.9105474948883057	1.0299796109156012e-21	0.5770000219345093	0.12999999523162842
eIF4EHP	0.5242148637771606	4.90724770601617e-24	0.8930000066757202	0.6200000047683716
haf	0.5827629566192627	6.598793039769291e-11	0.4359999895095825	0.12099999934434891
luna	0.6486074924468994	2.0361760343861982e-19	0.8859999775886536	0.48100000619888306
orb2	0.5368127226829529	3.895872568096325e-19	0.9129999876022339	0.6790000200271606
sv	0.6387236714363098	1.1516877407302673e-7	0.3490000069141388	0.032999999821186066
